CICLO,ID_RAMO,DESC_RAMO,ID_MODALIDAD,DESC_MODALIDAD,EJERCIDO_MPD
2008,1,Poder Legislativo,K,Proyectos de inversión,907.881877
2008,1,Poder Legislativo,R,Otras actividades relevantes,8410.581086
2008,2,Presidencia de la República,K,Proyectos de inversión,0
2008,2,Presidencia de la República,M,Actividades de apoyo al proceso presupuestario y para mejorar la eficiencia institucional,67.898626
2008,2,Presidencia de la República,O,Actividades de apoyo a la función pública y al mejoramiento de la gestión,11.239789
2008,2,Presidencia de la República,P,"Planeación, formulación, implementación, seguimiento y evaluación de políticas públicas",2092.610021
2008,3,Poder Judicial,R,Otras actividades relevantes,29977.812395
2008,4,Gobernación,E,Prestación de servicios públicos,4328.088586
2008,4,Gobernación,K,Proyectos de inversión,437.529527
2008,4,Gobernación,M,Actividades de apoyo al proceso presupuestario y para mejorar la eficiencia institucional,499.72764
2008,4,Gobernación,O,Actividades de apoyo a la función pública y al mejoramiento de la gestión,35.748255
2008,4,Gobernación,P,"Planeación, formulación, implementación, seguimiento y evaluación de políticas públicas",1175.313006
2008,4,Gobernación,R,Otras actividades relevantes,772.698994
2008,5,Relaciones Exteriores,E,Prestación de servicios públicos,1356.098244
2008,5,Relaciones Exteriores,K,Proyectos de inversión,138.3777
2008,5,Relaciones Exteriores,M,Actividades de apoyo al proceso presupuestario y para mejorar la eficiencia institucional,760.514134
2008,5,Relaciones Exteriores,O,Actividades de apoyo a la función pública y al mejoramiento de la gestión,17.833845
2008,5,Relaciones Exteriores,P,"Planeación, formulación, implementación, seguimiento y evaluación de políticas públicas",3624.283735
2008,5,Relaciones Exteriores,R,Otras actividades relevantes,1586.473312
2008,6,Hacienda y Crédito Público,B,Producción de bienes públicos,154.25056
2008,6,Hacienda y Crédito Público,E,Prestación de servicios públicos,1729.937369
2008,6,Hacienda y Crédito Público,F,Actividades de promoción y fomento,5541.831594
2008,6,Hacienda y Crédito Público,G,Regulación y supervisión,4201.908838
2008,6,Hacienda y Crédito Público,K,Proyectos de inversión,48.817585
2008,6,Hacienda y Crédito Público,M,Actividades de apoyo al proceso presupuestario y para mejorar la eficiencia institucional,7033.530182
2008,6,Hacienda y Crédito Público,O,Actividades de apoyo a la función pública y al mejoramiento de la gestión,340.62412
2008,6,Hacienda y Crédito Público,P,"Planeación, formulación, implementación, seguimiento y evaluación de políticas públicas",15403.758223
2008,6,Hacienda y Crédito Público,R,Otras actividades relevantes,2070.254146
2008,6,Hacienda y Crédito Público,S,Programas sujetos a reglas de operación,12280.124667
2008,6,Hacienda y Crédito Público,U,Otros programas de subsidios,38.638521
2008,7,Defensa Nacional,K,Proyectos de inversión,351.825646
2008,7,Defensa Nacional,M,Actividades de apoyo al proceso presupuestario y para mejorar la eficiencia institucional,3493.243838
2008,7,Defensa Nacional,R,Otras actividades relevantes,33277.35887
2008,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",E,Prestación de servicios públicos,2852.438088
2008,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",K,Proyectos de inversión,326.236609
2008,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",M,Actividades de apoyo al proceso presupuestario y para mejorar la eficiencia institucional,3921.202135
2008,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",O,Actividades de apoyo a la función pública y al mejoramiento de la gestión,59.270131
2008,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",R,Otras actividades relevantes,4968.734262
2008,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",S,Programas sujetos a reglas de operación,50363.045705
2008,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",U,Otros programas de subsidios,1620.609748
2008,9,Comunicaciones y Transportes,E,Prestación de servicios públicos,16381.617749
2008,9,Comunicaciones y Transportes,G,Regulación y supervisión,3029.006032
2008,9,Comunicaciones y Transportes,K,Proyectos de inversión,24126.843214
2008,9,Comunicaciones y Transportes,M,Actividades de apoyo al proceso presupuestario y para mejorar la eficiencia institucional,2353.003384
2008,9,Comunicaciones y Transportes,O,Actividades de apoyo a la función pública y al mejoramiento de la gestión,86.397466
2008,9,Comunicaciones y Transportes,P,"Planeación, formulación, implementación, seguimiento y evaluación de políticas públicas",319.352921
2008,9,Comunicaciones y Transportes,R,Otras actividades relevantes,1277.138383
2008,9,Comunicaciones y Transportes,S,Programas sujetos a reglas de operación,994.828061
2008,10,Economía,B,Producción de bienes públicos,209.579503
2008,10,Economía,E,Prestación de servicios públicos,1059.720198
2008,10,Economía,F,Actividades de promoción y fomento,663.310632
2008,10,Economía,G,Regulación y supervisión,410.020147
2008,10,Economía,K,Proyectos de inversión,1094.330795
2008,10,Economía,M,Actividades de apoyo al proceso presupuestario y para mejorar la eficiencia institucional,420.30973
2008,10,Economía,O,Actividades de apoyo a la función pública y al mejoramiento de la gestión,87.83778
2008,10,Economía,P,"Planeación, formulación, implementación, seguimiento y evaluación de políticas públicas",2160.806545
2008,10,Economía,S,Programas sujetos a reglas de operación,8826.893184
2008,10,Economía,U,Otros programas de subsidios,2452.135857
2008,11,Educación Pública,B,Producción de bienes públicos,2234.565102
2008,11,Educación Pública,E,Prestación de servicios públicos,89687.710123
2008,11,Educación Pública,G,Regulación y supervisión,1140.305414
2008,11,Educación Pública,K,Proyectos de inversión,805.134286
2008,11,Educación Pública,M,Actividades de apoyo al proceso presupuestario y para mejorar la eficiencia institucional,6200.722
2008,11,Educación Pública,O,Actividades de apoyo a la función pública y al mejoramiento de la gestión,491.557789
2008,11,Educación Pública,P,"Planeación, formulación, implementación, seguimiento y evaluación de políticas públicas",9782.336888
2008,11,Educación Pública,R,Otras actividades relevantes,2024.073286
2008,11,Educación Pública,S,Programas sujetos a reglas de operación,30188.052179
2008,11,Educación Pública,U,Otros programas de subsidios,45824.284054
2008,12,Salud,B,Producción de bienes públicos,4618.681079
2008,12,Salud,E,Prestación de servicios públicos,26818.65602
2008,12,Salud,G,Regulación y supervisión,579.13276
2008,12,Salud,K,Proyectos de inversión,448.996214
2008,12,Salud,M,Actividades de apoyo al proceso presupuestario y para mejorar la eficiencia institucional,4424.58923
2008,12,Salud,O,Actividades de apoyo a la función pública y al mejoramiento de la gestión,93.746881
2008,12,Salud,P,"Planeación, formulación, implementación, seguimiento y evaluación de políticas públicas",1072.549206
2008,12,Salud,S,Programas sujetos a reglas de operación,6771.490313
2008,12,Salud,U,Otros programas de subsidios,24915.62856
2008,13,Marina,K,Proyectos de inversión,376.283561
2008,13,Marina,M,Actividades de apoyo al proceso presupuestario y para mejorar la eficiencia institucional,855.473682
2008,13,Marina,P,"Planeación, formulación, implementación, seguimiento y evaluación de políticas públicas",521.317298
